ID,Shopify Name,Sawadeekard Name,Before,Change,After
001/197,[ENG]	SV03	Obsidian Flames:	001/197	Oddish	C	(Non-Foil),Oddish C (Non-Foil),0.5,0.0,0.5
001/197,[ENG]	SV03	Obsidian Flames:	001/197	Oddish	C	(Reverse Holo),Oddish C (Reverse Holo),1.0,0.0,1.0
002/197,[ENG]	SV03	Obsidian Flames:	002/197	Gloom	C	(Non-Foil),Gloom C (Non-Foil),0.5,0.0,0.5
002/197,[ENG]	SV03	Obsidian Flames:	002/197	Gloom	C	(Reverse Holo),Gloom C (Reverse Holo),1.0,0.0,1.0
003/197,[ENG]	SV03	Obsidian Flames:	003/197	Bellossom	U	(Non-Foil),Bellossom U (Non-Foil),0.5,0.09999999999999998,0.6
003/197,[ENG]	SV03	Obsidian Flames:	003/197	Bellossom	U	(Reverse Holo),Bellossom U (Reverse Holo),2.0,-1.0,1.0
004/197,[ENG]	SV03	Obsidian Flames:	004/197	Scyther	C	(Non-Foil),Scyther C (Non-Foil),0.5,0.0,0.5
004/197,[ENG]	SV03	Obsidian Flames:	004/197	Scyther	C	(Reverse Holo),Scyther C (Reverse Holo),1.0,0.0,1.0
005/197,[ENG]	SV03	Obsidian Flames:	005/197	Shuckle 	C	(Non-Foil),Shuckle C (Non-Foil),0.5,0.0,0.5
005/197,[ENG]	SV03	Obsidian Flames:	005/197	Shuckle 	C	(Reverse Holo),Shuckle C (Reverse Holo),1.0,0.0,1.0
006/197,[ENG]	SV03	Obsidian Flames:	006/197	Surskit	C	(Non-Foil),Surskit C (Non-Foil),0.5,0.0,0.5
006/197,[ENG]	SV03	Obsidian Flames:	006/197	Surskit	C	(Reverse Holo),Surskit C (Reverse Holo),1.0,0.0,1.0
007/197,[ENG]	SV03	Obsidian Flames:	007/197	Masquerain	U	(Non-Foil),Masquerain U (Non-Foil),0.5,0.0,0.5
007/197,[ENG]	SV03	Obsidian Flames:	007/197	Masquerain	U	(Reverse Holo),Masquerain U (Reverse Holo),1.0,0.0,1.0
008/197,[ENG]	SV03	Obsidian Flames:	008/197	Combee	C	(Non-Foil),Combee C (Non-Foil),0.5,0.0,0.5
008/197,[ENG]	SV03	Obsidian Flames:	008/197	Combee	C	(Reverse Holo),Combee C (Reverse Holo),1.0,0.0,1.0
009/197,[ENG]	SV03	Obsidian Flames:	009/197	Foongus	C	(Non-Foil),Foongus C (Non-Foil),0.5,0.0,0.5
009/197,[ENG]	SV03	Obsidian Flames:	009/197	Foongus	C	(Reverse Holo),Foongus C (Reverse Holo),1.0,0.0,1.0
010/197,[ENG]	SV03	Obsidian Flames:	010/197	Amoonguss	U	(Non-Foil),Amoonguss U (Non-Foil),0.5,0.09999999999999998,0.6
010/197,[ENG]	SV03	Obsidian Flames:	010/197	Amoonguss	U	(Reverse Holo),Amoonguss U (Reverse Holo),1.5,-0.5,1.0
011/197,[ENG]	SV03	Obsidian Flames:	011/197	Phantump	C	(Non-Foil),Phantump C (Non-Foil),0.5,0.0,0.5
011/197,[ENG]	SV03	Obsidian Flames:	011/197	Phantump	C	(Reverse Holo),Phantump C (Reverse Holo),1.0,0.0,1.0
012/197,[ENG]	SV03	Obsidian Flames:	012/197	Trevenant	U	(Non-Foil),Trevenant U (Non-Foil),0.5,0.0,0.5
